artist,header,locations-name,locations-url,products,time,title,searchresultURL,listened,skipped,searched
Foster The People,Google Play Music,From your current location,"https://google.com/maps?q=28.661898,77.227394",Google Play Music,2017-12-28T04:08:17.567Z,Best Friend,,True,False,False
Of Monsters And Men,Google Play Music,From your current location,"https://google.com/maps?q=28.661898,77.227394",Google Play Music,2017-12-28T04:03:50.042Z,From Finner,,True,False,False
The Jimi Hendrix Experience,Google Play Music,From your current location,"https://google.com/maps?q=28.661898,77.227394",Google Play Music,2017-12-28T04:00:06.510Z,Crosstown Traffic,,True,False,False
Cream,Google Play Music,From your current location,"https://google.com/maps?q=28.661898,77.227394",Google Play Music,2017-12-28T03:57:39.914Z,White Room,,True,False,False
The Black Keys,Google Play Music,From your current location,"https://google.com/maps?q=28.661898,77.227394",Google Play Music,2017-12-28T03:52:41.545Z,Grown so Ugly,,True,False,False
,Play Music,,,Google Play Music,2017-12-28T02:06:39.399Z,udd gaye,https://play.google.com/music/search/udd+gaye,False,False,True
Porter Robinson & Madeon,Google Play Music,From your current location,"https://google.com/maps?q=28.661898,77.227394",Google Play Music,2017-12-28T01:52:31.215Z,Shelter,,True,False,False
,Play Music,,,Google Play Music,2017-12-28T01:51:30.685Z,sad machine,https://play.google.com/music/search/sad+machine,False,False,True
,Play Music,,,Google Play Music,2017-12-28T01:37:13.827Z,madeon,https://play.google.com/music/search/madeon,False,False,True
Ritviz,Google Play Music,From your current location,"https://google.com/maps?q=28.661898,77.227394",Google Play Music,2017-12-28T01:30:46.250Z,Udd Gaye (Bacardi House Party Sessions),,True,False,False
,Play Music,,,Google Play Music,2017-12-28T01:30:37.925Z,shelter,https://play.google.com/music/search/shelter,False,False,True
,Play Music,,,Google Play Music,2017-12-28T01:20:30.148Z,suede gully,https://play.google.com/music/search/suede+gully,False,False,True
,Play Music,,,Google Play Music,2017-12-28T01:20:13.034Z,udd gaye (bacardi house party sessions),https://play.google.com/music/search/udd+gaye+(bacardi+house+party+sessions),False,False,True
Ritviz,Google Play Music,From your current location,"https://google.com/maps?q=28.613939,77.209023",Google Play Music,2017-12-27T09:57:06.415Z,Udd Gaye (Bacardi House Party Sessions),,True,False,False
,Play Music,,,Google Play Music,2017-12-27T09:54:02.247Z,udd gaye (bacardi house party sessions),https://play.google.com/music/search/udd+gaye+(bacardi+house+party+sessions),False,False,True
Ritviz,Google Play Music,From your current location,"https://google.com/maps?q=28.564728,77.198425",Google Play Music,2017-12-27T06:33:54.342Z,Udd Gaye (Bacardi House Party Sessions),,True,False,False
Ritviz,Google Play Music,From your current location,"https://google.com/maps?q=28.613939,77.209023",Google Play Music,2017-12-26T15:34:15.352Z,Udd Gaye (Bacardi House Party Sessions),,True,False,False
